Year,White,Black,Hispanic,Native Amer.
1938,91,87,3,1
1939,72,74,4,2
1940,45,74,1,0
1941,55,60,1,0
1942,58,80,4,0
1943,49,73,4,2
1944,43,68,2,0
1945,54,70,2,1
1946,42,81,2,1
1947,39,113,0,0
1948,32,78,3,2
1949,47,69,0,2
1950,35,42,6,0
1951,48,44,4,1
1952,32,47,2,0
1953,30,30,2,0
1954,37,39,1,1
1955,40,32,1,0
1956,19,42,1,1
1957,35,31,1,0
1958,18,30,0,0
1959,16,33,0,0
1960,18,35,2,0
1961,19,22,1,0
1962,26,18,2,0
1963,11,9,1,0
1964,8,7,0,0
1965,5,1,1,0
1966,1,0,0,0
1967,0,1,1,0
1977,1,0,0,0
1979,2,0,0,0
1981,1,0,0,0
1982,1,1,0,0
1983,4,1,0,0
1984,13,8,0,0
1985,9,7,2,0
1986,9,7,2,0
1987,12,11,2,0
1988,6,5,0,0
1989,7,8,1,0
1990,16,7,0,0
1991,1,1,0,0
1992,18,11,2,0
1993,19,14,4,1
1994,19,11,1,0
1995,28,25,2,0
1996,28,14,2,1
1997,40,26,5,2
1998,39,18,9,1
1999,54,32,8,2
2000,43,34,6,2
2001,44,17,2,1
2002,46,18,6,0
